crashid,cartodbid,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,socrata_id,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
2017,2709715,79 STREET,,2019-11-08 08:30:00+00,40.719013,-73.87555,Queens,11379,4238181,0,0,0,0,2,0,2,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
2018,2709739,,3317      3 AVENUE,2019-11-08 08:03:00+00,40.826145,-73.90789,Bronx,10456,4238133,0,0,1,0,0,0,1,0,"Other Vehicular,Unspecified","Pick-up Truck,Sedan"
2019,2709746,WARWICK STREET,,2019-11-08 06:20:00+00,40.677357,-73.88687,Brooklyn,11207,4238293,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,
2020,2709737,JAMAICA AVENUE,,2019-11-08 05:40:00+00,40.71031,-73.77174,Queens,,4239076,0,0,3,0,0,0,3,0,"Unsafe Speed,Unspecified,Unspecified","Bus,Station Wagon/Sport Utility Vehicle,Taxi"
2021,2709769,FLUSHING AVENUE,,2019-11-08 11:35:00+00,40.704716,-73.92875,Brooklyn,,4237670,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unsafe Speed","Box Truck,E-Sco"
2022,2709762,GRAND CENTRAL PKWY,,2019-11-08 22:45:00+00,40.76663,-73.88903,Queens,,4239590,0,0,1,0,0,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
2023,2709754,GRAND CENTRAL PKWY,,2019-11-08 21:50:00+00,40.754864,-73.85255,Queens,,4238972,0,0,5,0,0,0,5,0,"Driver Inattention/Distraction,Unspecified",Station Wagon/Sport Utility Vehicle
2024,2709764,7 AVENUE,,2019-11-08 23:30:00+00,40.823566,-73.93768,Manhattan,,4238704,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Taxi,Station Wagon/Sport Utility Vehicle"
2025,2709755,HEGEMAN AVENUE,,2019-11-08 12:30:00+00,40.65556,-73.912,Brooklyn,11212,4239859,0,0,0,0,1,0,1,0,Backing Unsafely,Station Wagon/Sport Utility Vehicle
2026,2709765,,565       FLATBUSH AVENUE,2019-11-08 20:07:00+00,40.659897,-73.96059,Brooklyn,11225,4237857,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Sedan
2027,2709779,EAST 172 STREET,,2019-11-08 17:15:00+00,40.840603,-73.91152,Bronx,10457,4239843,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Sedan
2028,2709782,MAJOR DEEGAN EXPRESSWAY,,2019-11-08 21:15:00+00,40.842422,-73.928185,Bronx,,4239200,0,0,1,0,0,0,1,0,Reaction to Uninvolved Vehicle,Sedan
2029,2709775,108 STREET,,2019-11-08 08:27:00+00,40.722305,-73.84414,Queens,11375,4237611,0,0,2,0,0,0,2,0,"Following Too Closely,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
2030,2709786,YORK AVENUE,,2019-11-08 10:47:00+00,40.75991,-73.95882,Manhattan,10065,4238648,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
2031,2709787,ATLANTIC AVENUE,,2019-11-08 23:39:00+00,40.682186,-73.86982,Brooklyn,,4238361,0,0,2,0,0,0,2,0,"Unspecified,Unspecified",Sedan
2032,2709802,EAST 57 STREET,,2019-11-08 13:45:00+00,40.628586,-73.92113,Brooklyn,11234,4238228,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Sedan
2033,2709799,BELL BOULEVARD,,2019-11-08 17:40:00+00,40.76268,-73.77052,Queens,,4237716,1,0,0,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Bike"
2034,2709833,BUSHWICK AVENUE,,2019-11-07 12:30:00+00,40.704067,-73.93861,Brooklyn,,4237223,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Pick-up Truck,Sedan"
